,filename,time,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept,station,bottle,data_index,pH_calc12_total_20,pH_spectro_total_20,pH_vindta_total_20
25,2020-09-15_142745_NOORDWK70_2020004020,14:44,7.8849285714285715,7.895,7.896807692307693,7.897,1.3071699842896765e-11,68.0,7.8985,7.8985,2.73304650839806e-06,0.0007302967433403438,7.898500014804237,NOORDWK70,2020004020,463.0,7.904801718,7.908827735,7.903084423999999
26,2020-09-15_145318_WALCRN70_2020004013,15:10,7.90274074074074,7.905,7.905959183673469,7.9060000000000015,1.4691969280227248e-11,70.0,7.906909090909092,7.907,7.6125984024654705e-06,0.0011361818036337331,7.906909074379888,WALCRN70,2020004013,456.0,7.908336639,7.917318592000001,7.910955433
27,2020-09-15_151800_NOORDWK10_2020004018,15:34,7.822913580246914,7.82,7.817551020408162,7.817,1.7973614317158459e-06,64.0,7.815941176470589,7.816,4.230478884061203e-06,0.0012485285456935364,7.8178824559096824,NOORDWK10,2020004018,461.0,7.842937305,,7.839217527000001
28,2020-09-15_154239_TERSLG50_2020004022,15:58,7.844098765432099,7.848,7.848755102040816,7.849,6.880705119906237e-08,63.0,7.849388888888887,7.849,2.4273679077097416e-06,0.0007775443160350934,7.849462687410003,TERSLG50,2020004022,465.0,,7.861490875,
29,2020-09-15_160630_NOORDWK20_2020004019,16:20,7.861777777777776,7.864,7.864714285714286,7.865,1.3675980392819029e-07,55.0,7.865000000000001,7.865,1.3311181022000576e-06,0.0007483314773550383,7.864861516685903,NOORDWK20,2020004019,462.0,7.886030036,,7.879383216
30,2020-09-15_163010_TERSLG10_2020004021,16:43,7.876987654320987,7.881,7.882102040816326,7.8820000000000014,9.948494883583356e-12,54.0,7.882296296296297,7.8820000000000014,1.459583752984365e-06,0.0008688991627253835,7.882296306295045,TERSLG10,2020004021,464.0,,7.901719251,
31,2020-09-15_165314_CRM2,17:11,7.946592592592593,7.952000000000001,7.953571428571428,7.954,1.481438683410127e-10,72.0,7.954555555555554,7.955,4.8492164041991975e-06,0.0005270462766949059,7.954555724447416,,,,,,
32,2020-09-16_102128_CRM1,10:27,7.961675,7.9620000000000015,7.962000000000001,7.961500000000001,1.9606188083742988e-07,24.0,7.962125,7.9620000000000015,3.5825912778713316e-06,0.0009574271077559775,7.962217653122328,,,,,,
33,2020-09-16_103737_GOERE6_2020004016,10:54,7.8203209876543225,7.811,7.806571428571428,7.805,5.860750848439113e-06,68.0,7.802538461538463,7.802,4.167637924736074e-06,0.000877058019306673,7.809044247526934,GOERE6,2020004016,459.0,7.800076214,7.812665293999999,7.821873225
34,2020-09-16_110016_SCHOUWN10_2020004014,11:19,7.823839506172841,7.8279999999999985,7.8298367346938775,7.83,0.0,75.0,7.831,7.831,1.5936381457797235e-05,0.0008944271910002145,7.831,SCHOUWN10,2020004014,457.0,7.843817382999999,7.841246164,7.849171711
35,2020-09-16_112313_WALCRN20_2020004012,11:45,7.927289256198348,7.935,7.935674157303373,7.936,8.06215714358901e-08,90.0,7.937451612903226,7.938,1.3541307787145972e-06,0.0009946091251480963,7.93732462960846,WALCRN20,2020004012,455.0,7.935238585,7.944184758,7.935736528
36,2020-09-16_121738_GOERE2_2020004015,12:46,7.815166666666666,7.807,7.805920454545455,7.805,1.9048005984843997e-06,114.0,7.802166666666667,7.802,7.211058078557124e-06,0.0004082482904636368,7.805495430794425,GOERE2,2020004015,458.0,7.805624205,7.800017919,7.814119917
37,2020-09-16_125016_NOORDWK20_2020003075,13:13,7.801425,7.803,7.803647727272727,7.8039999999999985,1.3135692381283814e-07,91.0,7.804344827586207,7.8039999999999985,1.4670777216008819e-06,0.0009737945687202212,7.804551723034817,NOORDWK20,2020003075,448.0,7.809777467999999,7.8136748670000005,7.810782173
