date,analysis_batch,location,name,measurement_time,pre_acid_time,post_acid_tiem,extra_time,sample_v,rinsing_v,filling_speed,rinsing_speed,pumping_speed,acid_strokes,nb_of_rinses,rinsing_mode,rinse_for_replicates,database_name,filename,flag,salinity,DIC,area,cv%,Notes,run_type,station,cast,niskin,depth,temperature_insitu,density,mass_sample,temperature,rep,dic,dic_factor,unit,CV (?mol),cv_percent,lastcrm_dic_measured,lastcrm_dic_certified,lastcrm_batch,mode_calculation,mode_integration,comment,latitude,longitude,time,area_1,area_2,area_3,area_4,datetime,datenum,density_analysis,area_av_4,area_av_3,CT_d_sample_v,a_3,a_4,b_3,b_4,TCO2_3,TCO2_4
06/09/2021,1,,junk-6sep21-0,,,,,1200,,12,,,,,,,,,,30.0,,,,,bottle,0,0,0,0,4,1.02409,1228.908,22.47,4,2252.65,0.11345,?mol/kg,9.795567,0.434846,2000,0,186,reject first,by LI-COR,,0,0,8:24,24326,24279,24449,24474,2021-09-06 08:24:00,18876.35,1.0202959203587965,24382.0,24400.666666666668,2460317.0952511136,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2174.56885092607,2172.925373185704
06/09/2021,1,,junk-6sep21-1,,,,,1200,,12,,,,,,,,,,30.0,,,,,bottle,0,0,0,0,4,1.02402,1228.824,22.71,4,2303.21,0.11345,?mol/kg,2.734106,0.118708,2000,0,186,reject first,by LI-COR,,0,0,8:46,25001,24975,24916,24950,2021-09-06 08:46:00,18876.36527777778,1.020229256273311,24960.5,24947.0,2460156.3430753117,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2222.8151569248917,2224.003821169911
06/09/2021,1,,junk-6sep21-2,,,,,1200,,12,,,,,,,,,,30.0,,,,,bottle,0,0,0,0,4,1.02405,1228.86,22.59,4,2305.9,0.11345,?mol/kg,1.529136,0.066314,2000,0,186,reject first,by LI-COR,,0,0,9:11,25026,24975,24961,24994,2021-09-06 09:11:00,18876.38263888889,1.020262647981052,24989.0,24976.666666666668,2460236.8630379573,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2225.3544483027645,2226.4403529359893
06/09/2021,1,,junk-6sep21-3,,,,,1200,,12,,,,,,,,,,30.0,,,,,bottle,0,0,0,0,4,1.02391,1228.692,23.09,4,2303.46,0.11345,?mol/kg,2.932969,0.127329,2000,0,186,reject first,by LI-COR,,0,0,9:53,25001,24939,24920,24982,2021-09-06 09:53:00,18876.411805555555,1.0201227312187162,24960.5,24947.0,2459899.4711152627,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2223.0472716486393,2224.2360600184525
06/09/2021,1,CRM,CRM_189_0043_1000,,,,,1000,,10,,,,,,,,,,33.494,,,,,bottle,0,0,0,0,4,1.02383,1023.83,23.35,4,2076.67,0.11345,?mol/kg,0.703744,0.033888,2000,0,186,reject first,by LI-COR,,0,0,10:26,18843,18737,18748,18737,2021-09-06 10:26:00,18876.43472222222,1.0226928211648845,18766.25,18740.666666666668,2055080.770274412,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2006.777142745677,2009.47374176466
06/09/2021,1,CRM,CRM_189_0043_1200,,,,,1200,,12,,,,,,,,,,33.494,,,,,bottle,0,0,0,0,4,1.02386,1228.632,23.27,4,2084.27,0.11345,?mol/kg,0.978689,0.046956,2000,0,186,reject first,by LI-COR,,0,0,10:51,22622,22583,22562,22570,2021-09-06 10:51:00,18876.452083333334,1.0227159043544733,22584.25,22571.666666666668,2466152.5865786723,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2008.7728818410012,2009.8781404226313
06/09/2021,1,CRM,CRM_189_0043_1400,,,,,1400,,14,,,,,,,,,,33.494,,,,,bottle,0,0,0,0,4,1.02391,1433.474,23.08,4,2086.77,0.11345,?mol/kg,2.692388,0.129022,2000,0,186,reject first,by LI-COR,,0,0,11:10,26477,26354,26406,26342,2021-09-06 11:10:00,18876.465277777777,1.0227705205612654,26394.75,26367.333333333332,2877331.6679204325,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2007.463408466201,2009.5274235395268
06/09/2021,1,,CRM_400ppm1,,,,,1200,,12,,,,,,,,,,36.0,,,,,bottle,0,0,0,0,4,1.02389,1228.668,23.14,4,2039.78,0.11345,?mol/kg,2.686243,0.131693,2000,0,186,reject first,by LI-COR,,0,0,12:01,22201,22121,22088,22063,2021-09-06 12:01:00,18876.500694444443,1.0246532532377108,22118.25,22090.666666666668,2470824.2631793385,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,1962.8060113158836,1965.2242158358351
06/09/2021,1,,CRM_400ppm2,,,,,1200,,12,,,,,,,,,,36.0,,,,,bottle,0,0,0,0,4,1.02392,1228.704,23.06,4,2051.92,0.11345,?mol/kg,2.69037,0.131115,2000,0,186,reject first,by LI-COR,,0,0,12:24,33971,22216,22255,22198,2021-09-06 12:24:00,18876.516666666666,1.0246764787947278,25160.0,22223.0,2470880.2687301156,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,1974.3627960247431,2231.8409480534556
06/09/2021,1,,CRM_800ppm1,,,,,1200,,12,,,,,,,,,,36.0,,,,,bottle,0,0,0,0,4,1.0239,1228.68,23.12,4,2157.03,0.11345,?mol/kg,4.084997,0.18938,2000,0,186,reject first,by LI-COR,,0,0,12:43,23388,23356,23320,23408,2021-09-06 12:43:00,18876.52986111111,1.0246590643978033,23368.0,23361.333333333332,2470838.2760713175,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2074.192382361547,2074.776839353828
06/09/2021,1,,CRM_800ppm2,,,,,1200,,12,,,,,,,,,,36.0,,,,,bottle,0,0,0,0,4,1.0238,1228.56,23.45,4,2162.68,0.11345,?mol/kg,2.232249,0.103217,2000,0,186,reject first,by LI-COR,,0,0,13:03,23533,23423,23442,23394,2021-09-06 13:03:00,18876.54375,1.0245627743291508,23448.0,23419.666666666668,2470606.08451073,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2079.5017976248105,2081.9859732869163
06/09/2021,1,,tapsw,,,,,1200,,12,,,,,,,,,,30.0,,,,,bottle,0,0,0,0,4,1.02382,1228.584,23.38,4,2309.28,0.11345,?mol/kg,1.309169,0.056692,2000,0,186,reject first,by LI-COR,,0,0,13:22,25003,25019,24992,25013,2021-09-06 13:22:00,18876.556944444445,1.0200406367357542,25006.75,25008.0,2459701.5104493164,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2228.5981805827582,2228.4880987267047
06/09/2021,1,CRM,CRM_189_0043_1,,,,,1200,,12,,,,,,,,,,33.494,,,,,bottle,0,0,0,0,4,1.02386,1228.632,23.27,4,2090.0,0.11345,?mol/kg,3.408255,0.163075,2000,0,186,reject first,by LI-COR,,0,0,13:41,22696,22667,22594,22640,2021-09-06 13:41:00,18876.57013888889,1.0227159043544733,22649.25,22633.666666666668,2466152.5865786723,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2014.2186592233372,2015.5874231621772
06/09/2021,1,,CRM_1200ppm1,,,,,1200,,12,,,,,,,,,,36.0,,,,,bottle,0,0,0,0,4,1.02384,1228.608,23.34,4,2200.66,0.11345,?mol/kg,1.557086,0.070755,2000,0,186,reject first,by LI-COR,,0,0,14:01,23906,23824,23851,23820,2021-09-06 14:01:00,18876.58402777778,1.0245949669492465,23850.25,23831.666666666668,2470683.7130222064,32139.27998591913,32139.27998591913,107.79644788043096,107.79644788043096,2115.558161702922,2117.1874374880936
